sec cpu_pct rss_kb swap_kb threads
1 5.00 84808 0 26
2 4.00 84808 0 26
3 3.00 84808 0 26
4 2.00 84808 0 26
5 4.00 84808 0 26
6 4.00 84808 0 26
7 3.00 84808 0 26
8 4.00 84808 0 26
9 3.00 84808 0 26
10 4.00 84808 0 26
11 3.00 84808 0 26
12 5.00 84808 0 26
13 2.00 84808 0 26
14 3.00 84808 0 26
15 3.00 84808 0 26
16 5.00 84808 0 26
17 4.00 84808 0 26
18 4.00 84808 0 26
19 2.00 84808 0 26
20 3.00 84808 0 26
21 4.00 84808 0 26
22 5.00 84808 0 26
23 2.00 84808 0 26
24 3.00 84808 0 26
25 2.00 84808 0 26
26 5.00 84808 0 26
27 6.00 84808 0 26
28 2.00 84808 0 26
29 3.00 84808 0 26
30 2.00 84808 0 26
31 8.00 84808 0 26
32 4.00 84808 0 26
33 2.00 84808 0 26
34 2.00 84808 0 26
35 2.00 84808 0 26
36 5.00 84808 0 26
37 4.00 84808 0 26
38 2.00 84808 0 26
39 2.00 84808 0 26
40 3.00 84808 0 26
41 4.00 84808 0 26
42 5.00 84808 0 26
43 1.00 84808 0 26
44 3.00 84808 0 26
45 2.00 84808 0 26
46 5.00 84808 0 26
47 6.00 84808 0 26
48 3.00 84808 0 26
49 2.00 84808 0 26
50 3.00 84808 0 26
51 5.00 84808 0 26
52 6.00 84808 0 26
53 3.00 84808 0 26
54 2.00 84808 0 26
55 2.00 84808 0 26
56 4.00 84808 0 26
57 5.00 84808 0 26
58 3.00 84808 0 26
59 2.00 84808 0 26
60 2.00 84808 0 26
61 5.00 84808 0 26
62 4.00 84808 0 26
63 4.00 84808 0 26
64 2.00 84808 0 26
65 3.00 84808 0 26
66 4.00 84808 0 26
67 4.00 84808 0 26
68 3.00 84808 0 26
69 4.00 84808 0 26
70 3.00 84808 0 26
71 4.00 84808 0 26
72 3.00 84808 0 26
73 3.00 84808 0 26
74 3.00 84808 0 26
75 2.00 84808 0 26
76 5.00 84808 0 26
77 2.00 84808 0 26
78 5.00 84808 0 26
79 2.00 84808 0 26
80 5.00 84808 0 26
81 3.00 84808 0 26
82 2.00 84808 0 26
83 4.00 84808 0 26
84 3.00 84808 0 26
85 2.00 84808 0 26
86 5.00 84808 0 26
87 2.00 84808 0 26
88 5.00 84808 0 26
89 2.00 84808 0 26
90 3.00 84808 0 26
91 8.00 84808 0 26
92 2.00 84808 0 26
93 5.00 84812 0 26
94 2.00 84812 0 26
95 2.00 84812 0 26
96 4.00 84812 0 26
97 2.00 84812 0 26
98 4.00 84812 0 26
99 2.00 84812 0 26
100 3.00 84812 0 26
101 5.00 84812 0 26
102 5.00 84812 0 26
103 5.00 84812 0 26
104 3.00 84812 0 26
105 2.00 84812 0 26
106 5.00 84812 0 26
107 8.00 84908 0 26
108 6.00 84908 0 26
109 2.00 84908 0 26
110 5.00 84908 0 26
111 2.00 84908 0 26
112 3.00 84908 0 26
113 5.00 84908 0 26
114 3.00 84908 0 26
115 2.00 84908 0 26
116 4.00 84908 0 26
117 3.00 84908 0 26
118 7.00 84908 0 26
119 4.00 84908 0 26
120 2.00 84908 0 26
