sec cpu_pct rss_kb swap_kb threads
1 236.00 433400 0 40
2 219.00 433408 0 40
3 228.00 433408 0 40
4 290.00 433408 0 40
5 174.00 433408 0 40
6 207.00 433420 0 40
7 357.00 433420 0 40
8 296.00 433420 0 40
9 338.00 433420 0 40
10 297.00 433420 0 40
11 167.00 433420 0 40
12 294.00 433420 0 40
13 264.00 435424 0 40
14 169.00 435424 0 40
15 280.00 435428 0 40
16 204.00 435428 0 40
17 215.00 435428 0 40
18 242.00 435428 0 40
19 144.00 435428 0 40
20 307.00 435428 0 40
21 201.00 435428 0 40
22 219.00 435428 0 40
23 294.00 435428 0 40
24 168.00 435428 0 40
25 177.00 435428 0 40
26 327.00 435432 0 40
27 198.00 435432 0 40
28 210.00 435432 0 40
29 282.00 435432 0 40
30 292.00 435432 0 40
31 269.00 435432 0 40
32 194.00 435432 0 40
33 219.00 435436 0 40
34 169.00 435436 0 40
35 270.00 435436 0 40
36 191.00 435436 0 40
37 268.00 435436 0 40
38 251.00 435676 0 40
39 157.00 435688 0 40
40 245.00 418272 0 40
41 199.00 445640 0 40
42 258.00 445640 0 40
43 253.00 445640 0 40
44 221.00 445640 0 40
45 189.00 445640 0 40
46 303.00 445640 0 40
47 321.00 446264 0 40
48 327.00 437044 0 40
49 303.00 445952 0 40
50 258.00 446628 0 40
51 168.00 448752 0 40
52 241.00 448752 0 40
53 167.00 448752 0 40
54 230.00 448752 0 40
55 264.00 448752 0 40
56 194.00 448752 0 40
57 243.00 448752 0 40
58 179.00 448752 0 40
59 219.00 448752 0 40
60 201.00 448752 0 40
61 182.00 448752 0 40
62 267.00 457424 0 40
63 304.00 457424 0 40
64 292.00 457428 0 40
65 195.00 457428 0 40
66 304.00 456752 0 40
67 180.00 447164 0 40
68 212.00 433396 0 40
69 322.00 437696 0 40
70 202.00 437696 0 40
71 269.00 447292 0 40
72 209.00 447292 0 40
73 231.00 438064 0 40
74 240.00 438064 0 40
75 203.00 438064 0 40
76 312.00 438064 0 40
77 300.00 438064 0 40
78 185.00 438064 0 40
79 220.00 438064 0 40
80 219.00 448644 0 40
81 228.00 438932 0 40
82 273.00 438932 0 40
83 192.00 438932 0 40
84 292.00 438932 0 40
85 185.00 438932 0 40
86 293.00 438936 0 40
87 300.00 438936 0 40
88 174.00 438936 0 40
89 250.00 438936 0 40
90 225.00 438936 0 40
91 248.00 438936 0 40
92 356.00 438936 0 40
93 217.00 438936 0 40
94 206.00 438936 0 40
95 345.00 438504 0 40
96 349.00 438744 0 40
97 331.00 438744 0 40
98 333.00 438744 0 40
99 347.00 438020 0 40
100 361.00 438020 0 40
101 323.00 438020 0 40
102 339.00 425860 0 40
103 331.00 438188 0 40
104 347.00 425680 0 40
105 268.00 438868 0 40
106 168.00 438868 0 40
107 306.00 438868 0 40
108 257.00 438868 0 40
109 183.00 438868 0 40
110 196.00 438868 0 40
111 190.00 438868 0 40
112 172.00 418480 0 40
113 290.00 441436 0 40
114 124.00 441436 0 40
115 197.00 441192 0 40
116 230.00 441192 0 40
117 253.00 441192 0 40
118 132.00 441192 0 40
119 230.00 441192 0 40
120 228.00 441316 0 40
